"序列号","注册资本万","设立日期","企业类型","行业类别","经营范围","注册地址","企业状态","注册币种"
"d2a950c25da6ca9b96ab","50","2010-09-03","公司","工程和技术研究和试验发展","空气净化耗材、防静电用品、净化产品的研发及销售；安全防护用品、工业胶粘制品、劳保用品、包装材料、文化办公用品、五金交电、五金工具、数控刀具、电子元器件、仪器仪表、机械设备、电气设备、机械磨具、日用百货及化工辅料的销售。（上述经营范围中涉及行政许可的，经许可后方可经营；涉及专项审批的，经批准后方可经营）","无锡新区梅村恒泰雅居1-812室","在业","人民币"
"c52c9f420ca9af94b71e","50","2011-01-07","公司","其他化工产品批发","自营和代理各类商品和技术的进出口（国家限定公司经营或禁止进出口的商品和技术除外）；化工产品及原料(不含危险品)、塑料制品、橡塑制品、金属材料及制品、钢材、包装材料、电子产品、五金交电、普通机械设备及配件、通用机械设备、自动化设备、针纺织品、化妆品、纸制品、计算机软硬件、办公设备及耗材、办公用品、清洁用品、建筑材料、木材、工艺品、宠物用品的销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡新区长江北路6号百仕达大厦807","在业","人民币"
"5688fddfadcfe369b1eb","50","2011-02-14","公司","工程和技术研究和试验发展","半导体设备、仪器仪表的设计、安装、销售、维护；家电的安装、销售；机械设备的销售；自营各类商品和技术的进出口（国家限定公司经营或禁止进出口的商品和技术除外）；以下限分支机构经营；半导体设备、仪器仪表的制造；家电的生产。（上述经营范围涉及行政许可的，经许可后方可经营；涉及专项审批的，经批准后方可经营）。","无锡新区清源路20号传感网大学科技园立业楼E区206号","在业","人民币"
"db485379d993c129eb4e","50","2007-10-08","公司","机械设备、五金产品及电子产品批发","机电设备、五金交电、机械设备及配件、电器器材及配件、模具、磨料、化工产品及原料（不含危险品）、金属材料、轴承、建筑材料、装饰装潢材料（不含油漆、涂料）、电子产品、劳保用品的销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡市菱湖大道200号中国传感网国际创新园F4栋","在业","人民币"
"fc04bc4d0eb8524ac44c","50","2008-10-21","公司","工程和技术研究和试验发展","嵌入式技术的研发、咨询；嵌入式工业计算机的研究、开发、技术咨询；电子信息技术的开发、技术培训、咨询与服务；计算机软件的开发与销售、技术培训、咨询与服务；新型机械产品的研究、开发、技术咨询与销售。","无锡市新区江溪街道南站工业集中区B区A-07号","在业","人民币"
"7a0ee3724370dde03afa","50","2009-11-26","公司","工程和技术研究和试验发展","网络多媒体设备的开发与销售；半导体、集成电路、电子产品、计算机软件的设计、研发与销售；技术芯片的销售；技术开发、技术转让、技术咨询、技术服务。（上述经营范围涉及行政许可的，经许可后方可经营：涉及专项审批的，经批准后方可经营）","无锡新区震泽路18号无锡国家软件园金牛座A111-2号","在业","人民币"
"af44bd7999d0007a62b0","50","2010-01-11","个人独资","专用设备制造业","机械零部件的制造、加工、销售及维修。（上述经营范围涉及行政许可的，经许可后方可经营；涉及专项审批的，经批准后方可经营）。","无锡市新区江溪街道坊前锡贤路79号－18","在业","人民币"
"622c7d9e0377239f071c","50","1999-09-13","公司","金属及金属矿批发","铝合金及铝合金制品的销售","无锡市新区硕放私营经济园B-4-1号地块","在业","人民币"
"3453cdae2592ce76c724","50","1999-11-12","公司","研究和试验发展","环保、铸造工程装备的研发、设计、生产、销售及安装服务。（上述经营范围中涉及行政许可的，经许可后方可经营；涉及专项审批的，经批准后方可经营）","无锡新区硕放工业集中区五期E18-2号地块","在业","人民币"
"d599c945d87afe2b0f5b","50","2000-11-22","公司","通用设备制造业","普通机械（不含电梯压力容器医疗机械）环保设备的制造销售钣金加工气动元件的加工销售","无锡市坊前镇锡甘路18号","在业","人民币"
"5f50b7cd2bf557d58bdb","50","2001-08-06","公司","批发业","机械设备，仪器，仪表，电子元器件产品及配件的制造销售；电子机械材料的研究、开发、销售。","无锡市新区坊前镇春阳东路28号","在业","人民币"
"7b77c7cdc2d67c4df187","50","2002-10-25","公司","专业技术服务业","工程技术咨询和技术服务；环保工程设计、施工、安装、运营维护；环境工程技术及环保仪器设备的研发和代理销售。（上述经营范围中涉及行政许可的，经许可后方可经营；涉及专项审批的，经批准后方可经营）","无锡新区泰山路2号国际科技合作园B楼C7座","在业","人民币"
"7e555cc092617c74d5e8","50","2003-01-23","公司","通用设备制造业","普通机械、计算机软硬件、工业自控设备的设计生产（限分支机构）销售；自动化控制技术开发；技术服务。","无锡新区科技园二区106B号","在业","人民币"
"953ea006726381215cbc","50","2016-01-20","公司","软件和信息技术服务业","计算机软硬件及网络应用技术、系统集成的技术开发、技术转让、技术咨询、技术服务；计算机及配件、办公自动化设备的销售；培训服务（不含发证、不含国家统一认可的职业证书类培训）；自营和代理各类商品及技术的进出口（国家限定公司经营或禁止进出口的商品和技术除外）；设计、制作、代理和发布各类广告；第二类增值电信业务中的信息服务业务（不含固定网电话声讯服务、移动网和固定网信息服务）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡市新区龙山路2-28-702","在业","人民币"
"9bab2edefb69dc16109b","50","2016-02-02","公司","工程和技术研究和试验发展","新材料研发及技术转让、技术服务；通用机械设备、电子元器件、精密模具及配件的制造、销售；压缩机及配件、测量仪器、工程机械配件、管道配件、无尘设备、过滤器材、舞台灯光、音响、广播视频会议系统、安防监控系统、电动工具、汽车、摩托车、农用车及其零配件、汽车美容品、汽车装饰材料、电动自行车、电动车配件、自行车钢材、建筑材料、矿山设备、金属材料（除钨、锑、锡、黄金）、建筑装饰材料的销售；自营和代理各类商品和技术的进出口（国家限定公司经营或禁止进出口的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡市新区鸿山街道鸿声至德路805-11号","在业","人民币"
"d3b9902a9d6bffbc1a7d","50","2016-05-17","公司","工程和技术研究和试验发展","新材料、3D打印设备及耗材等","无锡市新吴区鸿山街道锡协路208-9号一楼、二楼","在业","人民币"
"0ee32be30538782c7633","50","2016-5-21","公司","信息传输、软件和信息技术服务业","物联网、云计算d技术开发、技术转让；通讯设备的制造、销售、安装、维修、技术服务；工业自动化控制系统装置制造、电气安装；弱电智能系统、监控系统的研究与开发；计算机软硬件的安装、维护、技术咨询、技术服务；基础电信业务；增值电信业务；软件开发、信息系统集成服务、信息技术咨询服务、集成电路设计等。","无锡市新吴区硕放经发五路26号",,"人民币"
"d54e7c2a78c869580175","50","2016.6.2","企业法人","其他制造业","民用航空器的研发、测试、销售、租赁（不含融资租赁）;技术开发、技术转让、技术咨询、技术服务；家居、环保、农业、车载电子智能设备、汽车零配件的研发、生产、销售；无人机电力设备检测、维护服务；农业病虫害防治服务；摄像服务；软件的开发及销售；会务服务；展示展览服务；培训服务（不含发证、不含国家统一认可的职业证书类培训）；自营和代理各种商品及技术的进出口（国家限定公司经营或禁止进出口的商品及技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡新吴区清源路20号太科园传感网大学科技园立业楼A401号",,"人民币"
"f51175387b708f7ba5d5","50","2016-08-09","公司","其他机械设备及电子产品批发",,"无锡市新吴区菱湖大道180-38-201","在业","人民币"
"ec54cf58ce0882b75825","50","2016-10-26","公司","集成电路设计","物联网系统、无线传感网络系统的开发与产品销售；半导体、集成电路、电子产品、芯片、计算机软硬件的设计、开发与销售；电子元器件、汽车电子产品、化工产品（不含危险品及易制毒物品）的研发与销售；光学棱镜膜的研发与销售；技术开发、技术转让、技术咨询、技术服务。","无锡市新吴区菱湖大道200号中国传感网国际创新园E2-431",,"人民币"
"cc7ea5905ffd3fd882bb","50","2016-10-28","公司","企业管理服务",,"无锡市新吴区龙山路2-28-806","在业","人民币"
"f27424424c6927046d38","50","2016-11-08","公司","软件开发","计算机软硬件的研发、技术咨询；计算机整机的制造、加工、销售；自营和代理各类商品和技术的进出口（国家限定企业经营或禁止进出口的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡市新吴区震泽路18号无锡软件园二期-水瓶座-503室",,"人民币"
"d3bca31fa5b4914fdfd2","50","2016-11-22","公司","营养和保健品批发","营养健康咨询服务；食品（凭有效许可证经营）、日化用品、家电的销售。","无锡市新吴区新洲路210号",,"人民币"
"b7febfdb383e2abdfb62","50","2016-12-13","公司","知识产权服务",,"无锡市新吴区无锡中关村软件园21号楼（A3）121室","在业","人民币"
"b6b5cc9d83ebc416e9c9","50","2017-03-10","公司","软件和信息技术服务业","计算机技术开发、技术服务；计算机系统集成服务；软硬件的开发与销售","无锡市新吴区菱湖大道200号中国传感网国际创新园E2-211",,"人民币"
"75781b1a47338b2b21ec","50","2017-05-27","公司","研究和试验发展",,"无锡市新吴区净慧东道66号5号楼5307室","在业","人民币"
"186bdb8d90887811b27c","50","2017-06-05","企业法人","计算机、软件及辅助设备批发","计算机软硬件技术开发、技术咨询、技术服务；物联网系统、安防监控系统、电子智能控制系统的开发、设计、销售、安装、维护；计算机信息系统集成；工业自动化控制系统装置、自动化控制技术的研发、生产、服务；计算机网络系统工程设计、施工；通讯产品、电子产品的销售。","无锡市新吴区震泽路18-14无锡软件园二期巨蟹座A409室",,"人民币"
"ac683e645a1f9fbf9b40","50","2017-10-26","公司","集成电路设计","物联网系统、无线传感网络系统的开发与产品销售；半导体、集成电路、电子产品、芯片、计算机软硬件的设计、开发与销售；电子元器件、汽车电子产品、化工产品（不含危险品及易制毒物品）的研发与销售；光学棱镜膜的研发与销售；技术开发、技术转让、技术咨询、技术服务。","无锡市新吴区震泽路18-14无锡软件园二期巨蟹座A508室",,"人民币"
"443e5d07433c55a0408b","50","2018-04-17","公司","航空、航天器及设备制造",,"无锡市新吴区震泽路18号无锡软件园射手座B栋2283室",,"人民币"
"047aae13f3d6e0b3e30e","5","2015-12-28","外商投资企业","其他未列明商务服务业","太阳能领域的气象数据服务、技术咨询服务、气象信息咨询服务、软件服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡市新区天安智慧城2-406a室","在业","欧元"
"4d63815d98826e957d6a","5","2016-11-22","外商投资企业","社会经济咨询",,"无锡市新吴区长江北路万科家园五区27#房28-36门牌1层商铺","在业","人民币"
"2a904146f86984177cfe","49230","2007-04-11","公司","工程和技术研究和试验发展","掩模版的生产；集成电路、电子产品的掩模研究、销售、技术开发和技术服务；电子产品的研发、生产、销售；自营各类商品和技术的进出口业务；自有房屋出租。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡市新区菱湖大道202号","在业","人民币"
"dd0ecba7b32151286180","4900","2008-09-25","外商投资企业","专用设备制造业","适用于农业机械及工业、发电、工程设备的柴油发动机及其零部件的研究、开发、生产、加工
组装、测试、批发、佣金代理（拍卖除外）和进出口业务及技术咨询、售后服务。（以上商品进出口不涉及国营贸易、进出口配额许可证、出口配额招标、出口许可证等专项管理的商品）（依法需经批准的项目，经相关部门批准后方可开展经营活动）","无锡新区新畅南路8号","在业","人民币"
"f4ee986fd981db94eefb","490","1997-08-06","个体工商户","塑料包装箱及容器制造","开发生产包装产品。（上述不含国家限制禁止类项目）","无锡市新区漓江路13号","在业","人民币"
"19b6f360686afc183c7a","48300000","2004-12-07","公司","电力电子","集成电路的设计研发；新型电子元器件的生产；分立器件的设计研发生产","无锡市新区硕放中通东路88号","在业","人民币"
"bd5349c8bcd9e0236b0f","48147","2002-06-05","外商投资企业","棉纺织及印染精加工","生产、加工、零售、批发及进出口纯棉纱、涤纶纱、粘胶纱、涤棉混纺纱、涤纶粘胶混纺纱及其它天然纤维纱、化学纤维纱。（国家限定企业经营或禁止进出口的商品除外，不含其它国家禁止、限制类项目，涉及行政许可的凭有效许可证明经营）","无锡国家高新技术产业开发区89号地块","在业","人民币"
"8bcd972a863c3998e36b","4800","2002-05-28","公司","计算机、通信和其他电子设备制造业","半导体集成电路及半导体分立器件的设计、加工、销售；软件开发；电子产品、仪器仪表、电气机械的销售；自营各类商品的进出口业务（国家限定经营或禁止进出口的商品除外）。（上述经营范围涉及专项审批的经批准后方可经营）。","无锡新区新辉环路8号","在业","人民币"
"b0fd991164f0c90f4085","4800","1992-10-17","公司","金属加工机械制造","金属切削、冶金专用设备、通用机械及电器仪表的制造、加工、销售；自营和代理各类商品和技术的进出口（国家限定公司经营或禁止进出口的商品和技术除外）。（上述经营范围范围涉及行政许可的，经许可后方可经营；涉及专项审批的，经批准后方可经营）。","无锡市新区鸿山街道工业安置区","在业","人民币"
"63cabe1f8a8f60e452f6","47652",,,,,"无锡国家高新技术产业开发区51-B地块","在业",
"308f7511d482f6aef464","4687","2013-01-11","公司","工程和技术研究和试验发展",,"无锡市新洲路210号","在业","人民币"
"0175cd6f0770a44e17ee","4640.9721","2003-06-05","公司","电子器件制造","半导体集成电路及电子产品（不含发射装置）的设计、开发、生产、销售；计算机及电子产品的技术服务、技术转让；自营各类商品及技术的进出口业务，但国家限定企业经营或禁止进出口的商品及技术除外。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡市新区珠江路51号（新区71-F号地块）","在业","人民币"
"16dedc0d46612f13c51f","460722.2516","2001-01-22","个体工商户","研究和试验发展","研究、开发、生产、加工太阳能电池及发电系统（不含限制类项目的电池、联接机电及裂变器）；提供售后技术服务；并从事上述产品及太阳能电池和组件的原辅材料和零部件的批发和佣金代理（不含拍卖）业务、进出口业务（以上商品进出口不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理）；为太阳能发电产品系统提供设计、安装及维护服务；为太阳能发电产品及光伏组件用零部件提供检测服务(不含进出口商品的检测业务)；从事太阳能电站的建设经营(通过前置核准后方可经营并限在核准地址经营)；从事太阳能光伏领域内的技术开发、技术成果转让、技术咨询及提供其他技术服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡市新区新华路9号","在业","人民币"
"1acac55c1f63dd6a327c","46000","1998-08-19","公司","房地产开发经营","房屋开发、销售；对科技项目的孵化培育；科技项目及高新技术产品的开发、转让、推广、应用及销售；教育培训、咨询服务；利用自有资金对外投资；创业中心大楼的经营管理及配套服务；自有房屋的出租；物业管理；停车场服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡市新区龙山路4号B幢402","在业","人民币"
"e1227486281779c78e1a","46000","2000-09-05","公司","机械设备、五金产品及电子产品批发","百货、五金交电、建筑材料、装饰装潢材料、化工产品及原料（不含危险品），针纺织品及原料（不含棉花、蚕茧）的销售；园区内项目及资金的引进服务；园区内的物业管理（凭许可证经营）；自有房屋出租；创业园区的管理服务；科技企业的孵化（不含国家限制及禁止类项目）。（上述经营范围涉及行政许可的，经许可后方可经营；涉及国家专项审批的，经批准后方可经营）。","无锡市新吴区南站工业集中区B区A-07号","在业","人民币"
"df5c0c7d56b7828627fc","4600","2009-07-22","个体工商户","工程和技术研究和试验发展","电子工业专用设备、专用仪器仪表、工业自动控制系统装置、连续搬运设备的技术开发、技术转让、技术咨询、技术服务、生产、销售；计算机软件的设计、研发、销售；自营和代理各类商品和技术的进出口（国家限定公司经营或禁止进出口的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡市新吴区漓江路11号","在业","人民币"
"346c19d711851d58952c","4600","2009-05-13","公司","集成电路设计","计算机软件、芯片、光电产品、通讯设备的研发、生产、（限分公司经营）、销售；技术服务；技术咨询；利用自有资金对外投资；自营和代理各类商品和技术的进出口。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡新区太湖国际科技园大学科技园清源路530大厦A801号","在业","人民币"
"d185736511792972643d","460","2016-05-25",,,"高校","无锡市新区菱湖大道99号",,"人民币"
"72bd91d6fcffbe5210ec","4581","2009-12-21","外商投资企业","工程和技术研究和试验发展","软件产品、数据通信设备的研发；并提供技术服务、技术转让及技术咨询。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡新区岷山路60号-E地块3F","在业","人民币"
"fa55072f22ec5a1dcc16","45200","2002-12-09","外商投资企业","电子器件制造","开发生产新型平板显示器件、光电子器件、新型电子元器件、平板显示器件冲压模具、冲压件；生产及组装LED灯具；从事上述产品及配件产品的批发、佣金代理（拍卖除外）、进出口业务（以上商品进出口不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理申请。）；加工显示器金属部件用胶带；仓储服务（不含物流、不含国家禁止限制类项目）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡国家高新技术产业开发区106-A号地块","在业","人民币"
"69381b940af321cdf1ef","4500","2002-01-10","公司","通用设备制造业","电动工具的生产、销售；家用电器、五金、电器机械的销售。经营本企业自产产品及技术的出口业务；经营本企业生产、科研所需的原辅材料、仪器仪表、机械设备、零配件及技术的进口业务（国家限定公司经营和国家禁止进出口的商品及技术除外）；普通货运。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡市新区硕放镇红光村","在业","人民币"
"b81aba2a049555330c94","4500","2001-12-30","企业法人","研究和试验发展","科技项目的开发、转让、孵化、服务；对科技型企业投资；工程设计；技术贸易；教育培训；自有房屋出租；园区管理服务；物业管理；代收代缴水电费服务；会议及展览服务；汽车租赁；静态增氧装备、茶园防霜机的组装、销售；通用设备、专用设备、电气机械和器材、仪器仪表、计算机通信和其他电子设备的研发、制造、销售、安装、检测；计算机软件的技术开发、技术转让、技术服务和销售；化学原料和化学制品（不含危险化学品）、纺织原料、纺织品、食品、医疗器械和药品、化学纤维的研发、销售；物联网、传感器技术的开发、转让、服务、咨询；自营和代理各类商品和技术的进出口（国家限定公司经营或禁止进出口的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡新吴区净慧东道66号","在业","人民币"
"4b5961debfb8d86068a6","4500","2009-07-03","公司","数据处理和存储服务","数据处理和存储服务；计算机及外围存储设备软、硬件的开发及销售；存储系统集成；网络设备开发及销售；计算机软硬件的技术开发、技术转让、技术咨询、技术服务；培训服务（不含发证、不含国家统一认可的职业证书类培训）；教育咨询服务；社会经济信息咨询；自营和代理各类商品和技术的进出口业务（国家限定企业经营或禁止进出口的商品和技术除外）；设计、制作、代理和发布国内广告业务；国内贸易；在江苏省范围内从事第一类增值电信业务中的在线数据处理与交易处理业务；在江苏省范围内从事第二类增值电信业务中的因特网信息服务业务（不含新闻、出版、教育、医疗保健、药品和医疗器械、互联网电子公告服务等内容）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。","无锡新区震泽路18号无锡软件园金牛座A栋6层","在业","人民币"
"5720dd4f02515e2c9c20","4500","2002-03-08","公司","金属制品业","拉丝机械的研发、生产、销售；通用机械、专用设备、金属制品、自动化控制设备、非标设备的研发、销售、技术转让、技术服务；自营和代理各类商品及技术的进出口（国家限定企业经营或禁止进出口的商品和技术除外）；道路普通货物运输。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡市新区城南路209号","在业","人民币"
"f5c606a1072fd4769dc5","4500","2003-01-23","公司","石膏、水泥制品及类似制品制造","新型材料、节能材料的技术研发、技术咨询；商品混凝土的生产、销售；普通货运、货物专用运输（罐式）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡市硕放街道南开路15号","在业","人民币"
"3035f8833cb2ae726ce6","4500","2013-03-01","公司","质检技术服务",,"无锡新吴区太湖国际科技园菱湖大道200号中国传感网国际创新园F8栋","在业","人民币"
"3ff6611c90966799a600","4500","2016-11-14","个人独资","新能源","智能电源系统研发、设计、制造（限分支机构经营）、销售及维护；智能电网电能储存系统的研发、制造（限分支机构经营）及销售；新能源产品（锂电池）的开发、设计、制造（限分支机构经营）及销售；技术开发、技术转让、技术咨询、技术服务；自营各类商品和技术的进出口业务（但国家限定公司经营或禁止进出口的商品和技术除外）","无锡新区太湖国际科技园菱湖大道200号中国微纳传感网国际创新园B楼","在业","人民币"
"e4ccb5154716fd99bacf","4500","2001-12-30","企业法人",,"科技项目开发、转化、科技孵化","无锡新吴区净慧东道66号","在业","人民币"
"5f5d29388c4f27d96726","4500","2006-03-30","公司","其他电子设备制造","液晶显示器、电子纸显示器件的研发、生产和销售；自营和代理各类商品及技术的进出口业务（国家限企业经营或禁止进出口的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡新吴区出口加工区J1地块3号厂房","在业","人民币"
"3a800d894a0cac4da4a9","4500","2007-05-09","个体工商户","医药制造业","三类6840体外诊断试剂、二类6840临床检验分析仪器的生产；诊断试剂、生物技术、生化制品、医疗器械的研发；一类医疗器械的销售；生物技术及医疗分析软件的开发、咨询、服务；生物芯片技术的研发、医疗设备技术的研发。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡市新区新安兴源南路大学科技园综合孵化楼A区三楼","在业","人民币"
"9dde3d09228bbbe04ddf","4500","2006-07-11","外商投资企业","工程和技术研究和试验发展","研发生产光通信器件；开发光电子技术。","无锡新吴区硕放振发八路13号","在业","人民币"
"12da226d2af1eb5f9e10","44894.1998","1998-08-14","公司","电子器件制造","生产微电脑智能控制器；嵌入式软件开发和技术咨询服务；输配电及控制设备的研发和制造；自营和代理各类商品和技术的进出口业务（国家限定企业经营或禁止进出口的商品和技术除外）；普通货运。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡市长江东路177号","在业","人民币"
"e77ba81996a2eb2b262c","4470","2002-11-25","外商投资企业","计算机、通信和其他电子设备制造业","研究开发生产新型电子元器件、瞬态电压抑制二极管、可控硅；上述商品的批发及进出口业务（以上商品进出口不涉及国营贸易，进出口配额许可证、出口配额招标、出口许可证等专项管理的商品。","无锡市新区硕放振发六路3号","在业","美元"
"c5d23b6fb9650a853040","4420","2016-11-18","外商投资企业","机光电","研发、设计、生产空气压缩机","无锡国家高新技术产业开发区长江路22号","在业","美元"
"22961e57a0eb3416282c","44092","2017-09-19","公司","制造业",,"无锡新区长江路40号","在业","人民币"
"d2d3639cd25d7c81e89b","44013.7075","2002-04-30","个体工商户","电子工业专用设备制造","电子工业专用设备研发、生产和技术服务；承接自动化专用设备的定制。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","江苏省无锡国家高新技术产业开发区新锡路20号","在业","人民币"
"b7c859817848bdd83667","4400","2017-09-26","企业法人","综合医院",,"无锡市新区长江北路20号","在业","人民币"
"2e6acb8ba469f062b432","4318.16","2004-03-18","外商投资企业","通用设备制造业","研发、生产内燃机外排放控制装置；从事上述产品及其零部件、上述产品生产使用的模具、夹具及汽车、工程机械用散热器及其零部件的批发、佣金代理（拍卖除外）、进出口业务（以上商品进出口不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理申请）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡国家高新技术产业开发区经一路9号华友工业园A-5号地块","在业","人民币"
"d6ae643855f7a2db0dab","4300","2001-05-21","企业法人","专业化设计服务","联轴器的设计、生产、销售；真空断路器的设计、销售；机电一体化产品的设计、生产、销售；动力传输设备的销售；机电产品及软件的技术开发、技术转让、技术服务；自营各类商品和技术的进出口业务。（国家限定企业经营或禁止进出口的商品和技术除外）。（上述经营范围涉及行政许可的，经许可后方可经营；涉及专项审批的，经批准后方可经营）","无锡新区华友二路北侧B-4地块","在业","人民币"
"6ec351cf45c69dd25d8a","4300","2001-05-21","公司","专业化设计服务","联轴器的设计、生产、销售；真空断路器的设计、销售；机电一体化产品的设计、生产、销售；动力传输设备的销售；机电产品及软件的技术开发、技术转让、技术服务；自营各类商品和技术的进出口业务。（国家限定企业经营或禁止进出口的商品和技术除外）。（上述经营范围涉及行政许可的，经许可后方可经营；涉及专项审批的，经批准后方可经营）","无锡新区华友二路北侧B-4地块","在业","人民币"
"ea4036515a6aae4a13f9","430","2013-07-05","外商投资企业","工程和技术研究和试验发展",,"无锡新区长江南路35号","在业","人民币"
"7f9048bfb6c0ef876211","4273","2017-10-09","外商投资企业","医疗仪器设备及器械制造",,"无锡市梅育路112号","在业","人民币"
"5325d059b8b790a59ee6","4270","2003-02-21","外商投资企业","基础化学原料制造","生产高性能不粘涂料，高性能氟碳涂料、特种胶粘剂、高性能工程塑料、改性硅树脂、聚酯树脂。开关、研究高性能不粘涂料，高性能氟碳涂料、特种胶粘剂、高性能工程塑料、改性硅树脂、聚酯树脂；提供技术服务。","无锡国家高新技术产业开发区新丰工业配套园","在业","人民币"
"2ccd4da2186faf23ae60","4269","2007-06-15","外商投资企业","纸制品制造","包装装潢印刷品印刷。生产纸质和塑料包装；组装包装和灌装设备。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡新加坡工业园新都路19号","在业","人民币"
"0e7117c39316598606de","4258","2009-07-29","公司","医药及医疗器材批发","中成药、化学原料药、化学药制剂、抗生素原料药、抗生素制剂、生化药品、生物制品、精神药品（限二类）的批发；二类医疗器械、三类医疗器械的销售；预包装食品的批发与零售；普通货运；货物专用运输（冷藏保鲜）；通用机械及配件、仪器仪表、电子产品、化妆品、卫生用品、办公用品的销售；百货的零售；医疗器械的维修；计算机软硬件的安装及销售；自营各类商品和技术的进出口（国家限定公司经营或禁止进出口的商品和技术除外）；信息咨询服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡新区龙山路2号旺庄科技创业中心B栋1008室","在业","人民币"
"e15f73fb43b987f50233","424.5","2008-01-11","外商投资企业","塑料制品业","生产橡胶零件、塑料零件及模具零件（上述限索环、连接器密封件、进线密封件、橡胶密封垫、精密辊子）；减震器；从事橡胶制品、金属制品、塑料制品、模具零件、注模工具、工业减震器的批发、佣金代理（拍卖除外）、进出口业务。（以上商品进出口不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理申请）。","无锡新区硕放工业园中通路8号中通2期2号厂房","在业","人民币"
"1428c4f3f53a2af57d6b","4218","2001-12-10","公司","其他电子设备制造","集成电路产品的技术开发、技术转让、技术服务、技术咨询；半导体分立器件、集成电路、模具的制造；电子工业专用设备的制造；自营和代理各类商品和技术的进出口业务（国家限定企业经营或禁止进出口的商品和技术除外）。（上述经营范围凡涉及专项审批的经批准后方可经营）","无锡市新区93号-B-1地块","在业","人民币"
"a9f07e2b747255f9e61e","4200","2011-05-30","公司","软件服务业","计算机软硬件的技术开发、技术转让、技术咨询、技术服务；转账POS机、智能卡、IC卡、软件的销售；贸易咨询服务；网络技术、通信技术、信息技术的开发；计算机及配件的研发、销售、安装、维护；计算机系统集成；餐饮企业管理服务","无锡新区震泽路18号无锡（国家）软件园海豚座C座2、3楼","在业","人民币"
"9eb92b8f5be898e957b6","4133.245549","2016-11-17","外商投资企业","生产型","研发生产大屏幕高清晰度彩色液晶投影显示器及大屏幕彩色投影显示器用光学引擎、高清晰度投影管的制造","无锡新区长江路23号","在业",
"11dd64f89ed197e3d039","4107","2005-05-25","外商投资企业","汽车制造业","汽车零部件的开发、制造、加工、批发及货物仓储服务（不含道路货物仓储）。（不含国家禁止、限制类项目，需前置行政许可证的凭有效许可证明经营）。","无锡新区坊前工业集中区新阳路9号","在业","人民币"
"4b5dc771e275a4d53dcc","410","2003-09-23","公司","计算机、通信和其他电子设备制造业","电气执行器、控制装置、测量仪表、分析仪表、仪器仪表的技术研发、制造、加工及销售；技术咨询、技术转让及技术服务。","无锡市新吴区江溪街道南丰配套园A区42号","在业","人民币"
"6ae3f1be28a1d5023014","40898","2008-05-29","外商投资企业","气体压缩机械制造","提供气体技术服务；研发、设计、生产空气压缩机、压缩空气干燥机、压缩空气过滤器、净化机及上述产品的附属配套设备和零部件；从事上述产品的批发、佣金代理（拍卖除外）、进出口业务。（以上商品进出口不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","无锡市新区长江南路15-2","在业","人民币"
